condition,policy_type,llm_enabled,trial,expected_winner,actual_execution,throughput_priority,energy_priority,throughput_route,energy_route,throughput_calls,energy_calls,actions_per_state,triggered_count,suppressed_count,collision,loser_executed,correct_exclusive_winner,latency_ms,correct
before_no_arbitration,rule_threshold_plus_priority_mutex,False,16,energy,both,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,102.776104,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,16,energy,energy,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,0,1,1,1,1,False,False,True,51.593855,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,17,throughput,both,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,101.799892,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,17,throughput,throughput,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,0,1,1,1,False,False,True,50.962574,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,18,energy,both,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,100.58047,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,18,energy,energy,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,0,1,1,1,1,False,False,True,50.208491,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,19,throughput,both,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,101.899108,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,19,throughput,throughput,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,0,1,1,1,False,False,True,51.730854,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,20,energy,both,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,102.852587,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,20,energy,energy,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,0,1,1,1,1,False,False,True,49.368313,True
